ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Vitamin Water XXX Zero (Extra Small)	0	0	0	0	0	30	0	0	0	0
Fanta Grape (Small)	170	0	0	0	0	55	44	0	43	0
Fanta Grape (Small) No Ice	230	0	0	0	0	70	59	0	58	0
Red Flash (Large) No Ice	400	0	0	0	0	100	103	0	103	0
Coca-Cola Zero Sugar (Extra Small) No Ice	0	0	0	0	0	40	0	0	0	0
Sprite Zero (Large)	5	0	0	0	0	85	0	0	0	0
Sprite Zero (Large) No Ice	10	0	0	0	0	110	0	0	0	0
Vitamin Water XXX Zero (Medium)	0	0	0	0	0	55	0	0	0	0
FUZE Raspberry Tea (Small) No Ice	120	0	0	0	0	65	31	0	30	0
FUZE Raspberry Tea (Small)	90	0	0	0	0	50	23	0	22	0
Red Flash (Extra Small) No Ice	160	0	0	0	0	40	41	0	41	0
Diet Coke (Small) No Ice	0	0	0	0	0	65	0	0	0	0
Minute Maid Strawberry Punch (Small) No Ice	210	0	0	0	0	70	57	0	56	0
Minute Maid Strawberry Punch (Small)	160	0	0	0	0	50	43	0	42	0
