ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Mango Pineapple Smoothie (Small) 12 fl oz cup	210	0.5	0	0	5	40	50	1	46	2
McCafé Hot Chocolate (Small) 12 fl oz cup	360	13	8	0	40	180	50	1	45	11
McCafé Latte (Small) 12 fl oz cup	170	9	5	0	25	115	15	1	12	9
Shamrock McCafe® Shake (Small) 12 fl oz cup	530	15	10	1	60	160	86	0	73	11
McCafé Iced Mocha (Small) 12 fl oz cup	290	11	6	0	35	125	40	1	34	8
McCafé White Chocolate Mocha (Medium) 16 fl oz cup	400	13	8	0	45	200	58	1	53	13
McCafé Iced Caramel Mocha (Small) 12 fl oz cup	270	11	6	0	35	140	37	0	32	8
McCafé Latte (Large) 20 fl oz cup	280	14	8	0	40	180	24	1	20	15
McCafé Hot Chocolate (Medium) 16 fl oz cup	440	16	9	0.5	50	220	61	1	56	14
Frappe Caramel (Large) 22 fl oz cup	670	27	17	1.5	95	190	96	0	88	11
McCafé White Chocolate Mocha (Large) 20 fl oz cup	480	16	9	0.5	50	250	70	1	65	17
McCafé Latte (Medium) 16 fl oz cup	210	10	6	0	30	140	18	1	15	11
McCafé White Chocolate Mocha (Small) 12 fl oz cup	320	11	6	0	35	160	47	1	43	11
Nonfat Latte (Medium) 16 fl oz cup	130	0	0	0	5	135	19	1	16	12
Nonfat French Vanilla Latte (Small) 12 fl oz cup	190	0	0	0	5	115	39	1	37	10
Nonfat French Vanilla Latte (Medium) 16 fl oz cup	240	0	0	0	5	140	49	1	46	12
Nonfat Latte (Large) 20 fl oz cup	170	0.5	0	0	10	180	25	1	21	16
Nonfat Caramel Latte (Small) 12 fl oz cup	200	0	0	0	5	110	41	1	39	10
Nonfat French Vanilla Latte (Large) 20 fl oz cup	300	0.5	0	0	10	180	60	1	56	16
Nonfat Caramel Latte (Medium) 16 fl oz cup	250	0	0	0	5	135	51	1	48	12
Nonfat Caramel Latte (Large) 20 fl oz cup	310	0.5	0	0	10	180	63	1	59	16
Nonfat Hazelnut Latte (Small) 12 fl oz cup	200	0	0	0	5	110	40	1	38	10
Nonfat Hazelnut Latte (Medium) 16 fl oz cup	250	0	0	0	5	135	51	1	48	12
Nonfat Hazelnut Latte (Large) 20 fl oz cup	310	0.5	0	0	10	180	63	1	59	16
Nonfat Latte with Sugar Free French Vanilla Syrup (Small) 12 fl oz cup	140	0	0	0	5	150	24	1	13	10
